zipcode,num_households,agi_1_per,agi_2_per,agi_3_per,agi_4_per,agi_5_per,agi_6_per,mean_agi,state_avg_home_price,Real_estate_tax_rate,population,density,State
45135,2120,0.372641509,0.287735849,0.160377358,0.080188679,0.08490566,0.014150943,2.259433962,145700,1.56,4705,26.1,OH
45140,26260,0.292079208,0.182025895,0.130236101,0.098248286,0.199543031,0.097867479,3.024752475,145700,1.56,56933,444,OH
45142,1980,0.368686869,0.303030303,0.161616162,0.090909091,0.075757576,0,2.202020202,145700,1.56,3696,27,OH
45144,1490,0.44966443,0.268456376,0.134228188,0.080536913,0.067114094,0,2.046979866,145700,1.56,4400,23.5,OH
45146,670,0.388059701,0.268656716,0.164179104,0.104477612,0.074626866,0,2.208955224,145700,1.56,1458,22.5,OH
45148,720,0.375,0.263888889,0.180555556,0.083333333,0.097222222,0,2.263888889,145700,1.56,1467,26.5,OH
45150,16190,0.324274243,0.234712786,0.146386658,0.106856084,0.153798641,0.033971587,2.633106856,145700,1.56,32618,370.4,OH
45152,5640,0.287234043,0.195035461,0.163120567,0.122340426,0.187943262,0.044326241,2.861702128,145700,1.56,11656,84.8,OH
45153,800,0.3375,0.275,0.15,0.1125,0.125,0,2.4125,145700,1.56,1804,23.1,OH
45154,4110,0.372262774,0.301703163,0.163017032,0.085158151,0.070559611,0.00729927,2.201946472,145700,1.56,8994,53.4,OH
45157,4490,0.356347439,0.240534521,0.138084633,0.102449889,0.13363029,0.028953229,2.503340757,145700,1.56,10315,90.3,OH
45159,1580,0.379746835,0.297468354,0.158227848,0.082278481,0.082278481,0,2.189873418,145700,1.56,3773,25.7,OH
45160,300,0.433333333,0.266666667,0.166666667,0.066666667,0.066666667,0,2.066666667,145700,1.56,865,777.6,OH
45162,1200,0.3,0.266666667,0.183333333,0.116666667,0.116666667,0.016666667,2.533333333,145700,1.56,2666,41.2,OH
45167,1490,0.416107383,0.268456376,0.147651007,0.093959732,0.073825503,0,2.140939597,145700,1.56,3700,23.7,OH
45168,660,0.393939394,0.287878788,0.166666667,0.075757576,0.075757576,0,2.151515152,145700,1.56,1667,18.9,OH
